industry_category,stock_id,stock_name,type,date
ETF,00944,野村趨勢動能高息,twse,2025-11-15
ETF,00945B,凱基美國非投等債,twse,2025-11-15
ETF,00946,群益科技高息成長,twse,2025-11-15
ETF,00947,台新臺灣IC設計,twse,2025-11-15
上櫃ETF,00948B,中信優息投資級債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00948B,中信優息投資級債,tpex,2024-12-31
ETF,00949,復華日本龍頭,twse,2025-11-15
上櫃ETF,00950B,凱基A級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00950B,凱基A級公司債,tpex,2024-12-31
ETF,00951,台新日本半導體,twse,2025-11-15
ETF,00952,凱基台灣AI50,twse,2025-11-15
ETF,00953B,群益優選非投等債,twse,2025-11-15
ETF,00954,中信日本半導體,twse,2025-11-15
上櫃ETF,00955,中信日本商社,tpex,2025-11-14
上櫃指數股票型基金(ETF),00955,中信日本商社,tpex,2024-12-31
